country,opps
US,29737141
BR,15602508
IN,14025842
FR,12644176
IT,7547891
UK,5934608
MX,5918204
ID,5185071
DE,5178236
CO,4311290
AR,4285087
ES,3975782
CA,3770089
PE,2528034
PH,2355493
EG,2056500
ZA,1883028
NL,1848933
SG,1821588
CL,1758503
PK,1600142
PL,1532593
BG,1503126
PT,1498591
BE,1452438
EC,1393870
AU,1375601
JP,1246993
MY,1208150
GR,1187671
BD,1179320
RU,1130054
TR,1099247
RO,1014462
AE,942198.8
SA,915144
DZ,873889.2
MA,873559.2
HU,851721.8
TH,827382.6
SE,813555
LT,795046.4
VE,770273.2
VN,747811.4
CH,741500
BO,698148.8
NP,695754.4
HK,683593.8
NG,645649.6
XX,606183.4
CN,584880.8
TW,574278
CZ,571911.4
IQ,568141.4
GT,506221.4
KE,488960.8
RS,487261
AT,454747.8
KR,449081.8
IE,437857.8
PA,435829.6
LK,409993.2
UA,402763.2
UY,384786.8
PY,377700.6
HR,373770.8
CR,373552.6
HN,366574.4
NZ,363803.8
NO,359622.8
SV,358577.8
DO,331942.6
IL,329161.2
FI,323594
TN,289465
DK,287868.2
GH,285540.2
MM,265922.6
JM,257677.4
SK,255929.6
JO,255181.4
QA,251849.6
SN,234719
GE,227574.8
RE,224017.6
KW,216048.2
OM,208030.6
MK,196915.2
AO,194051.8
CI,186919.6
NI,170698.8
IR,162921.6
LU,159024.4
PR,136406.8
LY,135827.6
ET,134132.2
MZ,133758.4
TZ,126294.6
BA,124913
TT,122076
LV,118561.2
AL,117333.2
MU,116562.6
BH,112002.6
LB,111968
CY,110023.6
KZ,108276.2
SI,104563.4
BY,104304.8
SY,96869.8
AZ,94839.8
UG,91951.8
GA,88596.4
KH,82174.4
PS,74328.6
EE,73003
GP,70262
MG,69999.8
ZM,69554.4
ZW,69336
HT,68186.8
CU,66152.6
MQ,65109.6
XK,62906.8
NA,62125.4
YE,59441.4
UZ,55834.8
ML,55100.8
MT,52700.2
BW,52437.4
CM,49801.2
CG,49745.8
BN,47414
TG,45089.6
MD,43988
PF,43125.8
ME,41789.8
GF,39760.8
CV,39617.4
MW,39165.4
CD,38395.2
RW,38256.2
IS,36715.6
GY,35702.6
AM,34830
BB,33603.8
KG,33386.6
MN,33081.6
NC,33040.4
SO,31701.6
LA,29789.4
FJ,28416.8
MV,28249
MR,27466
BF,27388.6
BS,25708
MO,25152.2
BJ,24182.6
BZ,23998.4
PG,22600.6
YT,20519.6
SD,20033.6
AD,18102.6
SR,17833.2
AF,17711.6
GU,17512.4
SC,16904.2
SL,16474.4
LC,16292.2
GM,12511.4
DJ,12459.4
CW,11612.4
GN,11104.2
IM,11046.8
AW,9832.4
VC,9680.2
KY,8945.4
GD,8859.8
BT,8700
AG,8609.6
JE,8176.4
DM,7906.8
SZ,7558.8
TJ,7375
LS,7058.6
BM,6820
MC,6514.2
LR,6433.2
KN,6172.4
NE,5580.2
TL,5157.4
GW,4912.6
GL,4784.6
GQ,4678.4
TD,4420.4
VI,4150.4
ST,4068
AN,3745.2
SM,3635.2
GG,3550.2
MP,3441.6
SS,3413.2
GI,3291.6
VG,3287.6
KM,3172.8
FO,3165
BI,3072.8
AS,3019.4
SB,3015.2
TC,2488.8
LI,2412.6
VU,2353.6
BQ,2213.4
WS,1695.8
MF,1681.8
FM,1600.4
ER,1559.6
TO,1405.6
MH,1391.6
AI,1298.8
AX,1294.2
PM,1097.6
PW,917.4
CF,737
CK,598.4
SH,373.2
FK,358.4
WF,321.8
MS,302.8
NR,227
IO,162.6
KI,140.6
VA,138.4
TM,107
TV,67.6
BL,43.2
EH,18
SJ,14
NF,8.2
KP,7.8
TK,7.6
CX,6.2
CC,4.4
NU,2.6
PN,0.6
,0
TF,0