platformname,opps
Android,85135568
Windows 10,35399484
iOS,31662006
macOS,9003881
Windows 11,8983746
Windows 7,2359257
Linux,1913029
Tizen,1869742
LG proprietary,1524211
iPadOS,1051202
Unknown,889213
Chrome OS,804771.6
Windows 8.1,706304
PlayStation 4 OS,488319.8
OS X,379462.8
Linux - Ubuntu,288876.4
Windows 8,126971.8
Windows XP,60758
Windows,36869
PlayStation 5 OS,33017.2
Windows Vista,31362.6
FreeBSD,19534.4
Mac OS X,15594.6
Windows Phone,10738.4
KaiOS,7939.6
Whale OS,2053.6
MAUI Runtime,1415.8
Linux - Fedora,1077.4
RIM,631.4
Windows 2000,507.6
Vewd OS,483.6
Symbian,404.2
OpenBSD,172.4
Windows RT,129
tvOS,115.2
Roku OS,104.4
PlayStation Vita OS,79.4
Windows NT 4,74.4
Orsay OS,46.8
webOS,44.2
PlayStation 3 OS,42.2
Samsung proprietary,38.2
Windows 95,35.8
Windows Mobile,30.8
Sony Ericsson proprietary,24.8
Windows 98,24.6
Linux - Arch,17.2
Linux - Slackware,17
Other,13
NetBSD,9.4
Linux - Debian,8
MeeGo,7.6
Nokia OS,7.6
Rex,6.6
Maemo,5.6
Nintendo Wii OS,3.8
Linux - Mint,3.4
Nintendo 3DS OS,3.2
Bada,3
Firefox OS,2.8
Linux - Red Hat,1
Linux - openSUSE,1
Vidaa,0.8
PlayStation Portable OS,0.6
FydeOS,0.2
NetTV,0.2
,0
ChromeOS,0
Linux - CentOS,0
PS4 Software,0